"Time","Topic"
"08:00","Arrival & expectations <!checked>"
"08:30","Introductions"
"09:00","Breakfast <!checked>"
"09:15","---Prompt training--- <!checked>"
"09:15","RTCIO prompting - for adult responses (whiteboard & AI improvement exercises)"
"11:15","RTCIO Practise (group exercises)"
"12:15","[B]Expertise-based prompts - for biz-grade results (biz plan eval demo)"
"13:00","Lunch (Optional: How to use AI at work, from tomorrow) <!checked>"
"13:30","[B]Chaining prompts - for real world results (contract demo, with canvas)"
"14:00","[B]Multi-step prompts - for automating complex processes (BMC biz tactical evaluation)"
"14:30","[B]Tool augmented prompts - for rapid results (Gamma demo)"
"15:00","[B]Deep research prompts - for defendable provenance (DR exercise)"
"16:15","Prompt context management - for large documents"
"17:00","Realistic end time <!checked>"
